name,address,city,district,project_name,investor,price,area,bedroom,post_date,expiration_date,,,,,,,
PKD chủ đầu tư: Tổng hợp giỏ hàng đợt cuối ưu đãi 350tr tại Mỹ Đình Pearl - LH ngay: 0938332255,"Dự án Mỹ Đình Pearl, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Mỹ Đình Pearl,Công ty CP tập đoàn S.S.G,4.41,105,2,17/12/2021,27/12/2021,,,,,,,
"Bán tổng hợp Vinhomes Skylake 1PN - 2,4tỷ, 2PN - 3.1 tỷ; 3PN - 4.6 tỷ; 4PN - 7.8 tỷ - 9tỷ penthouse","Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,Vinhomes Skylake,Tập đoàn Vingroup,4.6,106,3,13/12/2021,23/12/2021,,,,,,,
Căn hộ The Peak Garden ngay Phú Mỹ Hưng 65m2 2PN 2WC giá 46tr/m2 - CK đến 4.5% trong tháng 12,"Dự án The Peak Garden, 15B Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Hồ Chí Minh,Quận 7,The Peak Garden,Công ty CP Đầu tư bất động sản Hưng Lộc Phát,2.99,65,2,10/12/2021,20/12/2021,,,,,,,
Sốc 1PN 390tr, 2PN 580tr, 3PN. Quỹ căn rẻ đẹp cao cấp độc quyền Vinhomes Ocean Park,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Hà Nội,Gia Lâm,Vinhomes Ocean Park Gia Lâm,Tập đoàn Vingroup,0,68,2,11/12/2021,21/12/2021,,,,,
"Tây Hồ River View - Căn 3PN chỉ từ 2.7 tỷ. Nhà ở ngay, CK ngay 4.5% - Quà tân gia 25 triệu","Tây Hồ River View, số 2, Phố Thượng Thụy, Phường Phú Thượng, Tây Hồ, Hà Nội",Hà Nội,Tây Hồ,Tây Hồ River View,Công ty CP Đầu tư Phú Thượng,2.7,59.3,2,16/12/2021,26/12/2021,,,,,,,
Hateco Laroma Q. Đống Đa ra mắt quỹ căn tầng cao siêu đẹp từ CĐT quà tặng khủng dịp tết,"Dự án Hateco Laroma, Đường Huỳnh Thúc Kháng, Phường Láng Thượng, Đống Đa, Hà Nội",Hà Nội,Đống Đa,Hateco Laroma,Công ty CP Đầu tư Hạ tầng và Công trình Kiến trúc Hà Nội,0,80,2,16/12/2021,26/12/2021,,,,,,,
Vinhomes Golden River Ba Son chính chủ cho thuê T12-2021. Truly Homes đại lý F1 chính thức Vinhomes,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",Hồ Chí Minh,Quận 1,Vinhomes Golden River Ba Son,Tập đoàn Vingroup,0,70,2,16/12/2021,31/12/2021,,,,,,,
"Bán gấp căn hộ 2 - 3PN chỉ từ 2,2tỷ view cầu đông trù, chiết khấu 13% GTCH, hỗ trợ ls 0% 24 tháng","Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",Hà Nội,Long Biên,Bình Minh Garden,Cen Group,2.22,74,2,16/12/2021,26/12/2021,,,,,,,
"Trực tiếp từ chủ đầu tư, chỉ 30% nhận nhà, chiết khấu 13%, trả chậm 24 tháng không lãi","Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",Hà Nội,Long Biên,Bình Minh Garden,Cen Group,0,100,3,11/12/2021,21/12/2021,,,,,,,
"Trực tiếp từ CĐT, sở hữu căn hộ ngay cửa ngõ thành phố Thủ Đức, 30% nhận nhà. LH 0395670939 CĐT","HT Pearl, KP. Tân Hòa, Đường Tân Hòa, Phường Đông Hòa, Dĩ An, Bình Dương",Bình Dương,Dĩ An,HT Pearl,2 block 36 tầng,2.5,70,2,16/12/2021,26/12/2021,,,,,,,
"Bán 3PN The Link 345 Ciputra chỉ 4,4tỷ/107m2. CK 15%, HTLS 0%, nhận nhà ở ngay","Dự án The Link 345-CT1, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Hà Nội,Bắc Từ Liêm,The Link 345-CT1,Công ty TNHH phát triển khu đô thị Nam Thăng Long,4.4,107,3,16/12/2021,26/12/2021,,,,,,,
"Bán nhanh căn hộ Celadon City quận Tân Phú, 68m2, 2PN, 2WC, có sổ, 2.6 tỷ, ở ngay. 0949551199","Dự án Celadon City, Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",Hồ Chí Minh,Tân Phú,Celadon City,Công ty TNHH Gamuda Land Việt Nam,2.6,68,2,16/12/2021,26/12/2021,,,,,,,
"Chuyên chuyển nhượng Masteri Thảo Điền, đa dạng mặt hàng, phục vụ mọi nhu cầu. LH 0931828794","Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Hồ Chí Minh,Quận 2,Masteri Thảo Điền,Masterise Group,3.7,65,2,16/12/2021,26/12/2021,,,,,,,
Chuyên chuyển nhượng CH tại Masteri Thảo Điền cam kết rẻ nhất thị trường. LH: 0906574444 Dung,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Hồ Chí Minh,Quận 2,Masteri Thảo Điền,Masterise Group,3.9,69,2,11/12/2021,21/12/2021,,,,,,,
bán nhanh nhiều CH giá tốt Vinhomes Grand Park 1PN 1.7 tỷ 2PN 1.9 tỷ 2PN+ 2.4 tỷ 3PN 2.8 tỷ,"Dự án Vinhomes Grand Park quận 9, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Hồ Chí Minh,Quận 9,Vinhomes Grand Park,Tập đoàn Vingroup,2.45,69,2,16/12/2021,26/12/2021,,,,,,,
Bán căn hộ ngay siêu thị Aeon Mall Bình Dương chỉ 225 triệu nhận nhà ở ngay. LH 0963333882,"Dự án Legacy Central, Đường Thuận Giao 25, Phường Thuận Giao, Thuận An, Bình Dương",Bình Dương,Thuận An,Legacy Central,Công ty CP Đầu tư và Phát triển Thuận Lợi,0,60,2,16/12/2021,26/12/2021,,,,,,,
"Dự án Tây Hồ River View - Căn 2PN từ 59,3-74,8m2. Giá bán từ 2,3-2,6 tỷ/căn 2PN, hỗ trợ LS 0%/18T","Tây Hồ River View, 425, Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",Hà Nội,Tây Hồ,Tây Hồ River View,Công ty CP Đầu tư Phú Thượng,2.5,72,2,16/12/2021,26/12/2021,,,,,,,
"Căn hộ giá rẻ ngay TP Thuận An, BD chỉ 200tr sở hữu ngay cách Aeon Bình Dương 800m - 0911609979","Dự án Legacy Central, Đường Thuận Giao 25, Phường Thuận Giao, Thuận An, Bình Dương",Bình Dương,Thuận An,Legacy Central,Công ty CP Đầu tư và Phát triển Thuận Lợi,0,38,2,16/12/2021,26/12/2021,,,,,,,
"Hơn 4000 căn hộ Sunrise City - Cần bán gấp các căn 1-2-3-4 phòng ngủ, penhouse - LH: 0916606100","Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",Hồ Chí Minh,Quận 7,Sunrise City,Novaland Group,6.5,147,3,16/12/2021,26/12/2021,,,,,,,
"Giá từ 2,3-3,9 tỷ căn hộ 2 - 3PN (74 - 105m2) Bình Minh Garden, chiết khấu tốt, LH: 0989 684 754","Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",Hà Nội,Long Biên,Bình Minh Garden,Cen Group,0,105,3,10/12/2021,20/12/2021,,,,,,,
"Bán căn góc 135m2 Đông Nam giá 5,9 tỷ tại Vinhomes West Point, VVNH 70%, LH: 0977028262","Dự án Vinhomes West Point, Đường Đỗ Đức Dục, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,Vinhomes West Point,Tập đoàn Vingroup,5.4,135,3,16/12/2021,26/12/2021,,,,,,,
Lãi suất 0% đến 06/2024 dự án Vinhomes Ocean Park - Tặng quà noel 5 chỉ vàng - 0819819819,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Hà Nội,Gia Lâm,Vinhomes Ocean Park Gia Lâm,Tập đoàn Vingroup,2.4,55.6,2,16/12/2021,26/12/2021,,,,,,,
"Căn hộ view biển An Viên, góp mỗi tháng 1%, sở hữu lâu dài, CK khủng tới 28%, 1,5 tỷ. LH 0908235800","Dự án New Galaxy Nha Trang, Đường Trần Phú, Phường Vĩnh Trường, Nha Trang, Khánh Hòa",Khánh Hòa,Nha Trang,New Galaxy Nha Trang,Công ty CP Tập đoàn Hưng Thịnh,1.5,35,1,16/12/2021,26/12/2021,,,,,,,
"Hinode city bán suất cổ đông, chiết khấu 15%, cam kết giá thấp nhất thị trường, nhận nhà ở ngay","Dự án Hinode City, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Hinode City,Tổng Công ty CP Thương mại Xây dựng,0,105,3,16/12/2021,26/12/2021,,,,,,,
"Giá tốt cuối năm 2PN= 4.65tỷ, 3PN = 7 tỷ liên hệ ngay hotline 0945117088 với hơn 5 năm kinh nghiệm","Saigon Pearl, 92, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Saigon Pearl,Công ty CP tập đoàn S.S.G,4.65,89,2,15/12/2021,25/12/2021,,,,,,,
3HLand - chuyên bán cắt lỗ căn hộ giá tốt tại Vinhomes Smart City - Tây Mỗ - Nam Từ Liêm,"Dự án Vinhomes Smart City Đại Mỗ, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,Vinhomes Smart City,Tập đoàn Vingroup,2.3,63,2,15/12/2021,25/12/2021,,,,,,,
"Chính chủ bán căn hộ chung cư CT3 Vĩnh Điềm Trung Nha Trang, 2 phòng ngủ, đầy đủ tiện ích","Dự án CT3 Vĩnh Điềm Trung, Đường 19/5, Xã Vĩnh Hiệp, Nha Trang, Khánh Hòa",Khánh Hòa,Nha Trang,Chung cư CT3 Vĩnh Điềm Trung,Công ty CP đầu tư VCN,0,61,2,15/12/2021,25/12/2021,,,,,,,
Chung cư Sunshine City Bắc Từ Liêm danh sách căn hộ giá tốt 2PN + 3PN + duplex trực tiếp chính chủ,"Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Hà Nội,Bắc Từ Liêm,Sunshine City,Công ty CP Tập đoàn Sunshine,3.38,100,3,07/12/2021,17/12/2021,,,,,,,
"Bán gấp căn duplex dự án The Zei vip nhất Mỹ Đình, view hồ mai dịch, nhận nhà ngay sổ đỏ trao tay","Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Hà Nội,Nam Từ Liêm,The Zei Mỹ Đình,HD Mon Holdings,11.5,185,4,15/12/2021,25/12/2021,,,,,,,
Giỏ hàng giá tốt - Sunrise City - hỗ trợ vay ngân hàng 70%,"Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",Hồ Chí Minh,Quận 7,Sunrise City,Novaland Group,5,120,3,15/12/2021,25/12/2021,,,,,,,
Tin mới - Sự kiện mở bán căn hộ The Beverly - Vinhomes Quận 9 và lễ khai trương nhà mẫu dự án,"Dự án Vinhomes Grand Park quận 9, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Hồ Chí Minh,Quận 9,Vinhomes Grand Park,Tập đoàn Vingroup,2.6,53,1,15/12/2021,25/12/2021,,,,,,,
Danh sách căn hộ Vinhomes Central Park cần chuyển nhượng giá tốt nhất T12/2021. LH 0933384739,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,3,50,1,09/12/2021,19/12/2021,,,,,,,
Giảm sốc trong tháng - Gia đình bán gấp căn 3N2WC - Full NT - View Vinuni - 2.69 tỷ bao phí,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Hà Nội,Gia Lâm,Vinhomes Ocean Park Gia Lâm,Tập đoàn Vingroup,2.69,80,3,15/12/2021,25/12/2021,,,,,,,
"Bán căn hộ Vinhomes Central Park 1PN 3 tỷ, 2PN 4.5 tỷ, 3PN 6.8 tỷ, 4PN 10 tỷ giá rẻ nhất 0932133817","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,7.8,120,3,08/12/2021,18/12/2021,,,,,,,
"Mua nhà rinh lộc, tại Hateco Laroma, tặng ngay 114tr và ck 5%, căn đẹp nhất quận Đống Đa","Hateco Laroma, số 4, Đường Huỳnh Thúc Kháng, Phường Láng Thượng, Đống Đa, Hà Nội",Hà Nội,Đống Đa,Hateco Laroma,Công ty CP Đầu tư Hạ tầng và Công trình Kiến trúc Hà Nội,0,80.96,2,15/12/2021,25/12/2021,,,,,,,
"Bán tổng hợp Vinhomes Skylake 1PN - 2,4tỷ 2PN - 3.1 tỷ; 3PN - 4.6 tỷ; 4PN - 7.8 tỷ - 9tỷ Penthouse","Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,Vinhomes Skylake,Tập đoàn Vingroup,4.6,106,3,12/12/2021,22/12/2021,,,,,,,
"Sunshine City Ciputra - quỹ căn siêu cắt lỗ - 2PN giá chỉ từ 2,9 tỷ - 3PN 3,5 tỷ - duplex 7,3 tỷ","Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Hà Nội,Bắc Từ Liêm,Sunshine City,Công ty CP Tập đoàn Sunshine,3.85,99,3,08/12/2021,18/12/2021,,,,,,,
"Kẹt tiền bán gấp căn Marina Tower: 2-3PN, 54m2, 60m2, 72m2, 77m2, sân vườn, giá tốt 0986843529/Zalo","Dự án Marina Tower, Phường Vĩnh Phú, Thuận An, Bình Dương",Bình Dương,Thuận An,Marina Tower,Công ty CP Đầu tư LDG,1.8,72,2,10/12/2021,20/12/2021,,,,,,,
Chủ nhà cần tiền gửi bán gấp căn hộ Masteri Thảo Điền - Giá rẻ hơn thị trường - LH em Bảo Bảo,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Hồ Chí Minh,Quận 2,Masteri Thảo Điền,Masterise Group,4,70,2,09/12/2021,19/12/2021,,,,,,,
"Chính sách đặc biệt hàng ngoại giao CĐT, nhận nhà ở ngay sổ đỏ liền tay, miễn gốc lãi 2 năm CK cao","Dự án Hinode City, 201, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Hà Nội,Hai Bà Trưng,Hinode City,Tổng Công ty CP Thương mại Xây dựng,0,105,3,15/12/2021,25/12/2021,,,,,,,
"Bán gấp CH Vinhomes Grand Park, rẻ nhất t11/2021, 1PN + 1,7 tỷ, 2PN 1,9 tỷ, 3PN giá 2.8 tỷ","Dự án Vinhomes Grand Park quận 9, Phường Long Bình, Quận 9, Hồ Chí Minh",Hồ Chí Minh,Quận 9,Vinhomes Grand Park,Tập đoàn Vingroup,1.7,47,1,15/12/2021,25/12/2021,,,,,,,
"Bán CH Vinhomes central Park 1PN bán 3tỷ, 2PN bán 4,5tỷ, 3PN 108m2 giá 7.5tỷ, 4PN 12 tỷ, 0931555569","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,3.1,50,1,15/12/2021,25/12/2021,,,,,,,
"Tổng hợp CH Vinhomes West Point quà tặng tới 2,5 tỷ, 1PN-1,5 tỷ; 2PN-2,8 tỷ; 3PN-3,9 tỷ; 4PN- 5,2tỷ","Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,Vinhomes West Point,Tập đoàn Vingroup,5.2,145,4,09/12/2021,19/12/2021,,,,,,,
Quỹ hàng tốt nhất Vinhomes Skylake - 1800 căn 1PN - 4PN - Penthouse - Skyvilla. LH 0983786378,"Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Hà Nội,Nam Từ Liêm,Vinhomes Skylake,Tập đoàn Vingroup,9.8,115,2,11/12/2021,21/12/2021,,,,,,,
"Bán The Link345 3,2 tỷ/2PN 85m2 và 4,3 tỷ/3PN 107m2, trực tiếp CĐT Ciputra, ck 15%, LS 0%, đã có sổ","Dự án The Link 345 - CT1, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội.",Hà Nội,Bắc Từ Liêm,The Link 345-CT1,Công ty TNHH phát triển khu đô thị Nam Thăng Long,3.2,85,2,10/12/2021,20/12/2021,,,,,,,
Biệt thự trên không giá sốc cần tiền bán lỗ 244 m2,"Dự án Serenity Sky Villas, Đường Điện Biên Phủ, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Hồ Chí Minh,Quận 3,Serenity Sky Villas,Công ty CP bất động sản SơnKim Land,35,244,3,14/12/2021,24/12/2021,,,,,,,
"Mở bán Udic Westlake Ciputra - 3.1tỷ/2PN - 3.7tỷ/3PN - 5.1tỷ/4PN và 6.7tỷ, duplex 190m2. CK 4%","Dự án Udic Westlake, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội",Hà Nội,Tây Hồ,Udic Westlake,Tổng công ty Đầu tư Phát triển Hạ tầng đô thị - UDIC,5.208,168,3,14/12/2021,24/12/2021,,,,,,,
Bán căn hộ Vinhomes Central Park 3 phòng ngủ 120m2 nội thất hiện đại. LH 0901692239,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Vinhomes Central Park,Tập đoàn Vingroup,6.9,120,3,14/12/2021,24/12/2021,,,,,,,
"Giỏ hàng The Link L345 giá đặc biệt, miễn lãi 2 năm, tổng CK 15%, nhận nhà ngay, mua trực tiếp CĐT","Dự án The Link 345-CT1, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Hà Nội,Bắc Từ Liêm,The Link 345-CT1,Công ty TNHH phát triển khu đô thị Nam Thăng Long,2.88,72,2,10/12/2021,20/12/2021,,,,,,,
Đất Xanh ra mắt căn hộ cao cấp view biển Đà Nẵng - tỷ suất sinh lời cao - chiết khấu lên đến 17%,"Dự án The Sang Residence, Đường Phạm Kiệt, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,Ngũ Hành Sơn,The Sang Residence,"28 tầng, 1 tầng kỹ thuật",0,105.5,3,14/12/2021,24/12/2021,,,,,,,
"Bán căn 2PN giá 2.45t(65m2)&3PN giá 3.2t(82 - 91m2) tại Richstar, giá chính chủ liên hệ 0797284812","Dự án RichStar, Đường Tô Hiệu, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",Hồ Chí Minh,Tân Phú,Căn hộ RichStar,Novaland Group,2.45,65,2,14/12/2021,24/12/2021,,,,,,,
"Chuyên bán Masteri Thảo Điền, hỗ trợ vay 80% lãi suất ưu đãi - LH 0936 721 723 Mr Hoài","Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Hồ Chí Minh,Quận 2,Masteri Thảo Điền,Masterise Group,3.7,68,2,08/12/2021,21/12/2021,,,,,,,
"Chủ vỡ nợ bán gấp rổ căn Marina Tower giá cực rẻ, view cực đẹp, có sân vườn, LH ngay 0932779102","Dự án Marina Tower, Phường Vĩnh Phú, Thuận An, Bình Dương",Bình Dương,Thuận An,Marina Tower,Công ty CP Đầu tư LDG,1.75,72,2,14/12/2021,24/12/2021,,,,,,,
"BE1, BE3 Beverly Vinhomes giá rẻ hơn 500 tr TT sông CV ánh sáng Skyline. LH 0906599916","Dự án Vinhomes Grand Park quận 9, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Hồ Chí Minh,Quận 9,Vinhomes Grand Park,Tập đoàn Vingroup,3.44,80,2,14/12/2021,24/12/2021,,,,,,,
"Hạ giá cuối năm, cần bán nhanh nhiều căn Hà Đô giá cực tốt 2PN 5tỷ9, 2PN + 6tỷ9, 3PN 10tỷ3","Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",Hồ Chí Minh,Quận 10,HaDo Centrosa Garden,Tập đoàn Hà Đô,7.25,107,3,08/12/2021,18/12/2021,,,,,,,
